"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bangladesh","BGD","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500000","400000","100000","200000","200000","1700000","12500000","3065618.98107978","3002160.47562861","59964","2000000","20600000","2642487.04663212","2777817.74045039","4068822.75137983","1939915.77127122","3594819.61684403","134263505.527298","190660725.287634","180829229.559783","66442085.5139596","297434389.821033","289058929.515111","546876802.618094","41769923.686296","59902023.7533623","40516462.3424691","126742274.660245","19210044.1953508","23061761.9575118","4807601.88421795","",
"Bulgaria","BGR","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","6119985","15373928","2203748.7","-2505999.9","-6070000","-2714000","-3210999.9","180000","-8000000","-28500000","-1700000","63603.0573731007","17116991.9768363","3283925.31454843","9660636.65710261","28337940.9346759","26502802.4409685","193372711.500834","93336878.434472","291720179.61387","972188167.931062","1117476023.76507","361246920.091906","589250000","492370000","409980000","351540000","882360000","123220000","827020000","495770000","924350000","829110000","439060000","",
"Bahrain","BHR","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","6000000","0","0","-7387291.9","27089541.7","18080355.4","25579744.2","26892680.5","299468085.106383","50000000","52925531.9148936","38829788.3528086","198670231.259197","-16075846.9189002","304822100.055748","47645547.0378818","180824282.121401","163351440.877198","9552708.29400052","215955646.82579","190030175.710313","741354602.995812","1035638297.87234","1135372340.42553","980053191.489362","1669148936.17021","1620478723.40426","-1791489361.70213","334042553.191489","893617021.276596","515957446.808511","531648936.170213","-394414893.617021","3190957446.80851","-880053191.489362","228989361.702128","1515159574.46809","-197074467.8191","-205053191.4894","",
"Bahamas, The","BHS","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","0","0","0","0","115000000","-38000000","-76000000","-41000000","6000000","31016841.2","129342858.2","21918953.5","-162907702.1","400000","200000","-1300000","300000","300000","100000","200000","-300000","400000","1000000","200000","140132000","94373000","39854999.9","71534000","169275000","142805000","332713000","459230000","409593999.9","216299000","149852000","524028000","158403976.2","277142000","2679068356.2","169906043.1","358587408.1","151066000","117328000","112997907.76","59835501.65","",
"Bosnia and Herzegovina","BIH","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","181284991.844527","16438936.1986536","81830913.8164162","64598955.7011762","39447629.0934208","-93487591.8168378","81179825.2187501","-4825509.47064913","59600579.0002175","86262100.8336489","9961409.46481502","94733811.3525706","3891708.11555089","100763378.541662","18984277.8579466","21930362.1693155","72582334.6765328","",
"Belarus","BLR","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1864843.5","6023764","260000","-1034612.4","2100000","2300000","800000","200000","300000","-206200000","1500000","1300000","2500000","3000000","15200000","30600000","102300000","50600000","125500000","155500000","262200000","73400000","106600000","122900000","67800000","55200000","-3800000.00000001","77000000","",
"Belize","BLZ","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","6900000","4000000","3750000","1149999.95","1149999.95","1050000","1800000","1449999.95","2200000","2049999.95","10000","2528999.95","5665000","3900000","4500000","5092500","6223889.49","11916","74457.215","358032.4365","64244","980990.11","571642.42","985917.97","2757749.37","461250.44","1121077.31","633017.24","875726.5272","684524.64075","2734613.811","469883.77295","1718809.6837","257178.7763","718372.53665","2118556.97245","4428191.83085","",
"Bermuda","BMU","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18000000","47399999.9","28699999.9","13900000","22800000","22399999.9","26000000","30699999.9","31300000","111900000","104853593.672204","322892613.486016","10976337.8717797","-13900531.9960887","-336710709.923011","240427566.581362","50575465.5182576","119718304.887623","-84466521.6945456","95343845.0585757","-41561601.6828939","-35028302.25","-37771563","-11229974","",
"Bolivia","BOL","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","0","0","0","0","500000","100000","100000","100000","10000","200000","400000","1700000","1900000","1000000","1100000","2000000","2000000","2000000","2200000","2000000","2100000","2400000","2800000","2800000","2800000","2580000","2600000","2780000","2800000","3000000","3000000","3000000","3000000","3000000","-28805361","274766.727338455","0","0","-33113055.1584483","-1786710.7962642","88866040.522966","79693112.754138","-84465303.8440564","48314312.6648921","-111128854.350975","",
"Brazil","BRA","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","14000000","1000000","19000000","33100000","53799999.9","112000000","183000000","146000000","124000000","196000000","367000000","207000000","376000000","187000000","42000000","81000000","143000000","138000000","175000000","523000000","665000000","1014000000","137000000","491000000","1037000000","1384000000","885000000","1115564000","2854013000","1497658000","2497066000","-1489093000","2478504000","228789000","9822484000","2910390869.14063","28798368645.1416","17061251190.3687","26115312437.8662","-4551874100","26763010595.47","16067117026.88","2083264650.91","15643503704.82","20606853865.14","3133977129.73","14693481918.84","21340512975.24","2024569614.32","22819604501.96","-3467253501.56","",
