"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bangladesh","BGD","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","8108053514.97237","12522859678.6342","19439919254.1685","10105296949.4949","9608855565.61086","13238224497.3545","15535719093.2983","18156941569.7674","20590758873.929","18847155688.6228","18122979797.9798","19452920000","22655346153.8462","22202166666.6667","24866935483.871","27184294206.9995","29418568376.7207","32234055489.6909","31618548375.3501","32478635867.374","34069217830.6878","34824471356.6085","39096763694.0298","47649633251.8337","49613348946.1358","51415660792.9515","52841410149.7504","55101749155.2375","55629781319.4959","56908044576.0056","62584110535.4059","67925445897.7408","72520666666.6667","75870230199.5235","84719837822.1836","98684113103.0462","110602682464.565","124617096900.553","138823234444.331","144641656947.692","162054146628.501","184407434331.997","207742686491.099","277662793832.598","303896929001.404","334230905986.902","365625699161.72","389378636013.591","438175109838.667",
"Bulgaria","BGR","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","19525307692.3077","19672285714.2857","19187533333.3333","16484500000","17556333333.3333","17092578947.3684","20117823529.4118","27786846153.8462","22134941176.4706","21351666666.6667","18995909090.9091","9832580645.16129","10180773195.8763","10637028985.5072","9504964944.64945","18551491071.4286","11898154581.2254","10959092395.5051","14747201715.5192","13442625945.4753","12922427259.4546","14208398132.4667","16746346413.0958","21488783574.7677","26463400799.9492","29952788132.9013","33528741743.0899","41158999020.2939","51846800688.0562","50357249591.2419","49627734533.6402","55873847138.2865","53578705650.4599","54582545466.8838","56590366978.7003","49201494559.0569","52276668552.0362","57866861423.221","64214009656.0048","66968982827.7046","68559607877.4107","78139522557.178",
"Bahrain","BHR","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","2864420270.62881","3440957446.80851","3634308510.6383","3746276595.74468","3793882978.7234","3281648936.17021","2655319148.93617","2995744414.89362","3271276595.74468","3503191489.3617","4451329787.23404","4807446808.51064","4783244680.85106","5006382978.7234","5325000265.95745","5790573404.25532","6076647606.38298","6113085372.34043","6021789095.74468","6350622872.34043","8839275265.95745","8654625797.87234","9068566223.40425","10581836436.1702","12575387234.0426","15556372074.4681","18119833244.6809","21431313829.7872","24787226861.7021","20538353191.4894","23340257978.7234","25012234042.5532","29741912500","31343603989.3617","31755112765.9574","29314738297.8723","30439494680.8511","33484122340.4255","35726063829.7872","36391941489.3617","32270186170.2128","",
"Bahamas, The","BHS","GNI (current US$)","NY.GNP.MKTP.CD","149607647.058824","167450784.313726","187058529.411765","209509509.803922","234999607.843137","264705882.352941","299509803.921569","343823529.411765","391960784.313725","465392156.862745","509458782.43513","542590600","559130400","634848200","662174500","819788700","566500000","629400000","704600000","1006200100","1200800000","1274600000","1446700000","1594300000","1876000000","2140099900","2288900000","2530699900","2651000000","2930400000","2993200000","2932160000","3026400000","2963600000","3121400000","3882158500","4421275600","6179760000","6635720000","7557070000","7936270000","8118930000","8696814900","8717670000","8913970000","9654135300","9949250000","10386740000","10448200000","9829760000","9860860000","9834450000","10452900000","10233700000","10738000000","11459300000","11394700000","11996900000","11990200000","12589700000","9260000000","10474400000",
"Bosnia and Herzegovina","BIH","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1090802469.1358","1624572953.73665","2564045321.63743","3443816504.23851","4925763027.78883","5413706644.88017","6096206688.64814","6281404511.347","7159190134.74495","8903153144.83554","11100740126.9841","11690938513.3846","13256503752.1647","16247627011.8964","19819000898.7418","18292151431.2096","17456458996.4109","18794698983.5809","17355835686.6093","18414348534.202","18712679782.9037","16330408633.716","16937238639.888","17927343118.7673","20059895915.9038","20135274747.7466","19782860887.8015","22359975800.1024",
"Belarus","BLR","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21650000000","17420000000","17120370370.3704","16293884297.5207","14911220208.1235","13966637893.3315","14772763076.9231","14108011092.2816","15214407951.7863","12149900760.1436","12684212603.3498","12311559712.2302","14564104969.2909","17852939541.687","23125734722.2222","30263035283.1941","36839565501.1655","44866412861.137","59975463483.1461","49760369853.2044","56060043303.1219","61075328643.2161","64214746191.6757","72875749774.7748","76449469287.9499","54062079115.9111","45472290912.7463","52670933084.9247","57861414899.8822","62499323071.0393","57861857571.1528","65618942557.7181",
"Belize","BLZ","GNI (current US$)","NY.GNP.MKTP.CD","27930631.3873723","29755424.8915022","31701455.9708806","33587778.2444351","36023939.5212096","39860139.8601399","44195804.1958042","47172413.7931034","43353293.4131737","45628742.5149701","51497005.988024","56951219.5121951","63125000","74233128.8343558","92397660.8187135","105801104.972376","88520179.3721973","112050000","129500000","146500000","195988222.43","194189854.655","177306326.985","186603185.955","206681949.02","202743742.665","225438320.535","274982558.585","313893360.27","359433890.705","403986445.49","435320750","503609700","541655300","555652950","597851200","615256250","631241450","656987950","692591600","779173350","804540869.32848","864811708.88771","901249859.549365","940909470.03465","997027573.62023","1085865754.51368","1124159749.99844","1187411617.72776","1229960671.63149","1249425938.49003","1369622039.4102","1411148953.18392","1462644936.42351","1538606801.54095","1638870479.1395","1685478936.71505","1719706692.53913","1731215218.48204","1781800235.57603","1526981670.34609","1705844965.15471",
"Bermuda","BMU","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6780700000","6474269000","6661617000","6764352000","6657829000","6893729000","7095783000","7435279000","7460410000","7525313000","7083832000","7259199193.80293",
"Bolivia","BOL","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","2700484007.996","3160336281.85907","3644320889.55522","4239043308.33738","4263816802.61011","5510556933.11582","5176790478.47958","5060640961.87886","5754601148.31102","5004377399.67138","3649839150.76276","4045923622.1622","4332815375.02553","4456878547.22701","4618982620.20708","5096273725.07401","5446192513.78028","5528777355.74781","5798744226.81528","6508618711.33054","7188766149.05608","7729174999.5242","8335344621.69471","8088875593.5586","8172380981.6447","7930377408.46691","7700785216.17852","7780518761.75057","8388731804.43548","9172726311.35245","11054624631.7839","12630742727.2264","16137947294.2542","16666184074.0741","18760697222.341","22977277526.3082","25455219536.903","28751567785.8177","31298228306.8017","31873100506.5123","33320230246.0203","36398995788.712","39311992850.9407","40048420231.5485","36212961244.5731","39357552648.3357",
"Brazil","BRA","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","25823978009.9173","29559163247.6664","33065704447.8652","36783720975.7678","41728566935.8317","48684157318.5706","58075347258.6067","78380807935.1819","104325590448.443","122016649141.279","150357935666.65","173253413561.887","196080790936.193","218945212519.056","227299903221.934","252659071917.96","267229261483.899","191446471084.389","197144720543.593","176277409307.407","215620241322.034","237432947494.118","266239640696.035","365711839530.333","380339036380.184","334931411093.569","321997047142.546","359329728432.148","516607762515.288","758586196719.152","839052100880.453","868630774073.34","845870879353.705","581160970773.272","637966883070.823","540676536429.474","492077234979.718","540098689577.646","649182775616.367","866081203897.502","1080641864324.04","1368114333393.29","1654049713216.25","1632013699912.19","2138593265964.54","2546425811781.32","2401351848037.49","2435335749167.14","2406617081987.7","1764276838196.72","1754150398828.53","2020345060288.52","1858109688920.91","1816016546901.33","1410301999335.99","1558510503072.69",
